"company_name","website","country","founded_year","category","startup_type","similarity_type","target_market","target_segments","primary_client","primary_pain","problem_solved","key_features","user_journey","notable_features","has_form_builder","has_survey_or_interviews","has_reminders_or_followups","has_response_cap_or_auto_close","has_ai_analysis","has_prompt_dashboards","has_excel_csv_analysis","has_exports_reporting","has_integrations","deployment_notes","rf_pilot_relevance","seed_round_date","seed_amount_usd_m","stage","investors","funding_source_url","product_source_url","all_links","notes"
"Outset","https://outset.ai/","United States","2022","ai_research","AI research / surveys","direct","B2B SaaS / enterprise research","insights teams | product teams | CX teams","insights and product research teams","manual interviews and slow feedback synthesis","AI-moderated customer research and survey synthesis","AI-moderated interviews | survey synthesis | multilingual studies","create research plan -> launch interviews or surveys -> review synthesized insights","AI-moderated interviews | survey link distribution | automatic synthesis | multilingual research","partial","yes","partial","no","yes","no","no","yes","yes","Cloud product; strong enterprise research positioning","Полезен как benchmark для AI-опросов, пост-анализа и qualitative feedback loops для вузов и корпораций","2023-10-26","3.8","Series A","Adverb Ventures | Weekend Fund | Jack Altman","https://techcrunch.com/2023/10/26/outset-is-using-gpt-4-to-make-user-surveys-better/","https://outset.ai/","https://techcrunch.com/2023/10/26/outset-is-using-gpt-4-to-make-user-surveys-better/ | https://outset.ai/","Ближе к qualitative research, чем к массовым административным формам, но очень важен по UX post-analysis"
"Conveo","https://conveo.ai/","Belgium","2024","ai_research","AI research / surveys","direct","B2B SaaS / market research","research teams | marketing teams | product teams","market research and product teams","slow qualitative research execution and analysis","AI-led video and voice interviews with fast synthesis","AI video interviews | AI study design | tone analysis","define study -> run video or voice interviews -> inspect summarized findings","AI-led video interviews | AI study design | analysis of tone and behavior | multilingual support","partial","yes","partial","no","yes","no","no","yes","yes","Cloud product with research workflow depth","Сильный ориентир для глубинного feedback-сценария и автоматического анализа ответов; менее релевантен для простых форм-сборов","2025-03-06","5.3","Seed","Y Combinator | 6 Degrees Capital | Entourage | Pitchdrive | Syndicate One","https://conveo.ai/blog/2025-03-06-conveo-raises-5-3m-to-revolutionize-market-research","https://conveo.ai/","https://conveo.ai/blog/2025-03-06-conveo-raises-5-3m-to-revolutionize-market-research | https://conveo.ai/ | https://conveo.ai/product","Один из наиболее близких AI research аналогов по сценарию 'задай вопросы -> получи synthesized insight'"
"Keplar","https://www.keplar.io/","United States","2023","ai_research","AI research / surveys","adjacent","B2B SaaS / enterprise research","customer insights | brand teams | product marketing","brand and customer insights teams","traditional market research is slow and expensive","Voice AI customer interviews and report generation","voice AI moderator | participant outreach | automated reports","upload audience or CRM -> run voice interviews -> export report","voice AI moderator | CRM-based participant outreach | automated reports | presentation output","no","yes","partial","no","yes","no","no","yes","yes","Cloud, voice-first research workflow","Полезен как сигнал для корпоративных исследований и автоотчетности; меньше похож на form-first motion","2025-09-17","3.4","Seed","Kleiner Perkins | SV Angel | Common Metal | South Park Commons","https://techcrunch.com/2025/09/17/kleiner-perkins-backed-voice-ai-startup-keplar-aims-to-replace-traditional-market-research/","https://www.keplar.io/","https://techcrunch.com/2025/09/17/kleiner-perkins-backed-voice-ai-startup-keplar-aims-to-replace-traditional-market-research/ | https://www.keplar.io/","Сильный adjacent-case для AI-interview, voice collection и executive-ready research output"
"Quadratic","https://www.quadratichq.com/","United States","2022","ai_spreadsheet","AI-анализ данных / chat with Excel","direct","B2B SaaS / data tooling","analysts | operators | finance teams | builders","analysts and operations teams","excel is weak for connected, reproducible, code-assisted analysis","Spreadsheet-native analytics with code, AI and connected data","AI spreadsheet | Python | SQL | data connectors","open spreadsheet -> connect data -> ask or code analysis -> share output","AI spreadsheet | Python | SQL | JS | SaaS and database connectors","no","no","no","no","yes","partial","yes","yes","yes","Spreadsheet-first; connected data sources and code execution","Очень релевантен для второго модуля moreforms: анализ Excel / CSV / выгрузок и self-serve аналитика","2024-04-02","5.6","Seed","GV | Catapult Ventures | Betaworks | The Fund Rockies","https://www.quadratichq.com/blog/announcing-our-seed-round-funding-and-quadratic-teams","https://www.quadratichq.com/","https://www.quadratichq.com/blog/announcing-our-seed-round-funding-and-quadratic-teams | https://www.quadratichq.com/","Сильный benchmark для spreadsheet UX, code-assisted analytics и data connections"
"Sourcetable","https://sourcetable.com/","United States","2024","ai_spreadsheet","AI-анализ данных / chat with Excel","direct","B2B SaaS / AI data tooling","knowledge workers | operators | founders | analysts","founders and operations teams","ad-hoc spreadsheet analysis takes too long and breaks on messy exports","Conversational spreadsheet and autonomous data analysis","AI spreadsheet | autonomous analysis | Python workflows","upload or sync data -> ask questions -> get analysis and exports","self-driving spreadsheet | AI data analyst | model routing | Python-based workflows","no","no","no","no","yes","partial","yes","yes","yes","Cloud AI spreadsheet with multiple model integrations","Очень близок к сценарию 'анализируй выгрузку и покажи данные так, как попросил пользователь'","2025-03-31","4.3","Seed","Bee Partners | Julien Chaumond | Tom Preston-Werner | Roger Bamford","https://www.forbes.com/sites/charliefink/2025/03/31/sourcetable-launches-ai-spreadsheets-with-43-million-in-new-funding/","https://sourcetable.com/","https://www.forbes.com/sites/charliefink/2025/03/31/sourcetable-launches-ai-spreadsheets-with-43-million-in-new-funding/ | https://sourcetable.com/","Очень релевантен для аналитического ядра продукта; не закрывает form workflow"
"Julius AI","https://julius.ai/","United States","2022","ai_data_analyst","AI-анализ данных / chat with Excel","direct","B2B SaaS / prosumer analytics","knowledge workers | managers | founders | analysts | educators","knowledge workers and non-technical analysts","cannot analyze CSV or Excel without analyst support","Natural-language data analysis and visualization","chat with data | visualizations | predictive modeling","upload dataset -> ask questions -> get charts and explanations","AI data analyst | predictive modeling | visualizations | data connectors","no","no","no","no","yes","partial","yes","yes","yes","Cloud analytics assistant with connectors","Высокая релевантность для модулей анализа выгрузок, no-code аналитики и educational use cases","2025-07-28","10.0","Seed","Bessemer Venture Partners | Y Combinator | Horizon VC | AI Grant | 8VC","https://julius.ai/articles/funding-announcement","https://julius.ai/","https://julius.ai/articles/funding-announcement | https://julius.ai/ | https://techcrunch.com/2025/07/28/ai-data-analyst-startup-julius-nabs-10m-seed-round/","Особенно важен как benchmark для prompt-to-analysis UX"
"Athenic AI","https://www.athenic.com/","United States","2024","bi_and_dashboards","Conversational BI / LLM dashboards","direct","B2B SaaS / BI","business users | operations | data consumers","business users waiting on data teams","static dashboards do not answer ad-hoc business questions","Conversational BI and ad-hoc analysis beyond static dashboards","AI BI assistant | trend prediction | real-time answers","connect business data -> ask questions -> explore prompt-built views","AI assistant for BI | real-time insights | trend prediction | structured data analysis","no","no","no","no","yes","yes","partial","yes","yes","Cloud BI product; positioned against static dashboards","Релевантен как benchmark для prompt-based dashboards и explainable BI для нетехнических пользователей","2025-01-30","4.3","Seed","BMW i Ventures | TenVC | Scrum Ventures | Stage 2 Capital | Beat Ventures | SpaceCadet | Boost VC | Abstraction Capital","https://www.prnewswire.com/news-releases/athenic-ai-raises-seed-round-led-by-bmw-i-ventures-to-democratize-data-analysis-302363992.html","https://www.athenic.com/","https://www.prnewswire.com/news-releases/athenic-ai-raises-seed-round-led-by-bmw-i-ventures-to-democratize-data-analysis-302363992.html | https://techcrunch.com/2025/01/30/data-analytics-startup-athenic-ai-wants-to-be-an-enterprises-central-nervous-system/ | https://www.athenic.com/","Сильный аналог в зоне BI + self-serve explanation layer"
"Definite","https://www.definite.app/","United States","2024","bi_and_dashboards","Conversational BI / LLM dashboards","direct","B2B SaaS / enterprise analytics","data teams | B2B SaaS operators | GTM leaders","data teams and GTM leaders","fragmented analytics stack slows reporting and decision-making","All-in-one AI-native data platform combining pipelines, metrics and reports","AI data platform | metrics | reporting | pipelines","connect sources -> define metrics -> ask questions -> publish reports","warehouse + pipelines + metrics + reports | AI agent over company data | quick setup","no","no","no","no","yes","yes","partial","yes","yes","Cloud data platform replacing classic modern data stack pieces","Полезен как benchmark для packaged analytics and reporting; релевантен для корпоративного и ведомственного контекста","2025-08-21","10.0","Seed","Costanoa Ventures | Acrew Capital","https://www.definite.app/blog/definite-raises-%2410M","https://www.definite.app/","https://www.definite.app/blog/definite-raises-%2410M | https://www.definite.app/","Ближе к enterprise analytics platform, чем к form workflow, но важен по packaging и time-to-value"
"Rollstack","https://www.rollstack.com/","United States","2022","reporting_and_exports","Reporting & exports","adjacent","B2B SaaS / enterprise reporting","data teams | finance teams | strategy teams | customer success teams","data and finance reporting teams","manual deck and report updates from dashboards","Automates turning dashboards into decks and documents","slides automation | docs automation | BI integrations","connect dashboard -> map to template -> refresh deck or doc","slides and docs automation | one-click updates | BI integrations | template-based reporting","no","no","no","no","partial","no","no","yes","yes","Strong integrations with BI and office suites","Критически релевантен для сценария 'удобные выгрузки под формат' и отчетности для руководителей / заказчиков","2024-07-04","1.8","Series A","Y Combinator | UpHonest Capital | Kima Ventures | Monte Carlo Capital","https://www.rollstack.com/articles/rollstack-raises-1-8m","https://www.rollstack.com/","https://www.rollstack.com/articles/rollstack-raises-1-8m | https://www.rollstack.com/","Не конкурент по сбору данных, но сильный benchmark по export/reporting layer"
"Row Zero","https://rowzero.io/","United States","2024","ai_spreadsheet","AI-анализ данных / chat with Excel","direct","B2B SaaS / enterprise spreadsheet","analysts | operations | finance | data-heavy business users","operations and finance teams with large datasets","excel cannot handle huge tabular files reliably","Enterprise spreadsheet for very large datasets with connected analytics","large-file spreadsheet | warehouse connections | enterprise security","import huge dataset -> inspect in spreadsheet -> connect warehouse -> export","billion-row spreadsheet | data warehouse connections | enterprise security | spreadsheet UX for big data","no","no","no","no","partial","no","yes","yes","yes","Spreadsheet-first with enterprise security focus","Релевантен для сценариев тяжелых выгрузок, которые вузы и корпорации часто открывают в Excel","2025-05-06","10.0","Seed","IA Ventures | Trilogy Equity Partners | Founder's Co-op | Ludlow Ventures | K9 Ventures | Functional Capital","https://rowzero.io/blog/row-zero-raises-10m","https://rowzero.io/","https://rowzero.io/blog/row-zero-raises-10m | https://rowzero.io/","Сильный ориентир для large-file analytics, но без формы и prompt-dashboard ядра"
